!EXCLAMATION-POINT	EH K S K L AH M EY SH AH N P OY N T
REBELLIOUS(2)	R AH B EH L Y AH S
REBELS(2)	R IH B EH L Z
REBUFF(2)	R IY B AH F
REBUFFED(2)	R IY B AH F T
REBUKE(2)	R IH B Y UW K
REBUKED(2)	R IY B Y UW K T
REBUT(2)	R IY B AH T
REBUTTAL(2)	R IY B AH T AH L
REBUTTING(2)	R IY B AH T IH NG
RECALL(2)	R IH K AO L
RECALLS(2)	R IH K AO L Z
RECANTATION(2)	R IY K AE N T EY SH AH N
RECAP(2)	R IH K AE P
RECEDED(2)	R IH S IY D IH D
RECEDED(3)	R IY S IY D IH D
RECEDING(2)	R IY S IY D IH NG
RECEIPT(2)	R IY S IY T
RECEIPTS(2)	R IY S IY T S
RECEIVE(2)	R IH S IY V
RECEIVE(3)	R IY S IY V
RECEIVED(2)	R IH S IY V D
RECEIVED(3)	R IY S IY V D
RECEIVER(2)	R IH S IY V ER
RECEIVER(3)	R IY S IY V ER
RECEIVERS(2)	R IH S IY V ER Z
RECEIVERS(3)	R IY S IY V ER Z
RECEIVERSHIP(2)	R IY S IY V ER SH IH P
RECEIVES(2)	R IH S IY V Z
RECEIVES(3)	R IY S IY V Z
RECEIVING(2)	R IH S IY V IH NG
RECEIVING(3)	R IY S IY V IH NG
RECENTLY(2)	R IY S AH N L IY
RECEPTION(2)	R IY S EH P SH AH N
RECEPTIONIST(2)	R IY S EH P SH AH N IH S T
RECEPTIONISTS(2)	R IY S EH P SH AH N IH S T S
RECEPTIONISTS(3)	R IH S EH P SH AH N IH S
RECEPTIONISTS(4)	R IY S EH P SH AH N IH S
RECEPTIVE(2)	R IY S EH P T IH V
RECESS(2)	R IY S EH S
RECESSED(2)	R IY S EH S T
RECESSION(2)	R IY S EH SH AH N
RECIPIENT(2)	R IH S IH P IY AH N T
RECKONING(2)	R EH K N IH NG
RECLINING(2)	R IY K L AY N IH NG
RECLUSIVE(2)	R IY K L UW S IH V
RECOGNITION(2)	R EH K IH G N IH SH AH N
RECOGNIZES(2)	R EH K AH G N AY Z IH Z
RECOLLECT(2)	R IY K AH L EH K T
RECOLLECTED(2)	R IY K AH L EH K T IH D
RECOLLECTING(2)	R IY K AH L EH K T IH NG
RECOLLECTS(2)	R IY K AH L EH K T S
RECOMMENDED(2)	R EH K AH M EH N D IH D
RECOMMIT(2)	R IY K AH M IH T
RECOMMITED(2)	R IY K AH M IH T IH D
RECONDITIONING(2)	R IY K AH N D IH SH N IH NG
RECORD(2)	R EH K ER D
RECORD(3)	R IH K AO R D
RECORDED(2)	R IH K AO R D IH D
RECORDER(2)	R IY K AO R D ER
RECORDERS(2)	R IY K AO R D ER Z
RECORDING(2)	R IH K AO R D IH NG
RECORDS(2)	R EH K ER D Z
RECORDS(3)	R IH K AO R D Z
RECOUNT(2)	R IY K AW N T
RECOUNTED(2)	R IY K AW N T IH D
RECOUNTING(2)	R IY K AW N T IH NG
RECOUNTS(2)	R IH K AW N T S
RECOVERED(2)	R IH K AH V ER D
RECOVERING(2)	R IH K AH V ER IH NG
RECOVERY'S(2)	R IH K AH V R IY Z
RECOVERY(2)	R IH K AH V ER IY
RECREATE(2)	R IY K R IY EY T
RECREATED(2)	R IY K R IY EY T IH D
RECREATES(2)	R IY K R IY EY T S
RECREATING(2)	R IY K R IY EY T IH NG
RECRUIT(2)	R IH K R UW T
RECRUIT(3)	R IY K R UW T
RECRUITED(2)	R IY K R UW T IH D
RECRUITING(2)	R IH K R UW T IH NG
RECRUITING(3)	R IY K R UW T IH NG
RECRUITMENT(2)	R IH K R UW T M AH N T
RECRUITMENT(3)	R IY K R UW T M AH N T
RECRUITS(2)	R IH K R UW T S
RECRUITS(3)	R IY K R UW T S
RECUPERATING(2)	R IY K UW P ER EY T IH NG
RECUR(2)	R IY K ER
RECURRENCE(2)	R IY K ER AH N S
RECURRENT(2)	R IY K ER AH N T
RECURRING(2)	R IY K ER IH NG
RECYCLING(2)	R IY S AY K L IH NG
RED-HANDED(2)	R EH D HH AE N D IH D
REDEMPTION(2)	R IH D EH M SH AH N
REDEMPTIONS(2)	R IH D EH M SH AH N Z
REDEMPTIVE(2)	R IH D EH M T IH V
REDIFER(2)	R IY D AH F ER
REDISTRIBUTED(2)	R IY D IH S T R IH B Y AH T IH D
REDISTRIBUTING(2)	R IY D IH S T R IH B Y AH T IH NG
REDISTRIBUTIVE(2)	R IY D IH S T R IH B Y AH T IH V
REDLINGER(2)	R EH D L IH NG ER
REDOUBLING(2)	R IY D AH B L IH NG
REDRESS(2)	R IY D R EH S
REDUCE(2)	R IH D UW S
REDUCE(3)	R IY D UW S
REDUCED(2)	R IH D UW S T
REDUCED(3)	R IY D UW S T
REDUCES(2)	R IH D UW S IH Z
REDUCES(3)	R IY D UW S IH Z
REDUCING(2)	R IH D UW S IH NG
REDUCING(3)	R IY D UW S IH NG
REDUCTION(2)	R IY D AH K SH AH N
REEDUCATION(2)	R IY EH JH AH K EY SH AH N
REELECTED(2)	R IY IH L EH K T IH D
REESJONES'(2)	R IY S JH OW N Z AH Z
REFENES(2)	R IH F IY N Z
REFER(2)	R IH F ER
REFERENCE(2)	R EH F R AH N S
REFERENCED(2)	R EH F R AH N S T
REFERENCES(2)	R EH F R AH N S IH Z
REFERENCING(2)	R EH F R AH N S IH NG
REFERRED(2)	R IH F ER D
REFERS(2)	R IH F ER Z
REFINANCE(2)	R IY F AY N AE N S
REFINANCED(2)	R IY F AY N AE N S T
REFINANCES(2)	R IY F AY N AE N S IH Z
REFINANCING(2)	R IY F AY N AE N S IH NG
REFINANCINGS(2)	R IY F AY N AE N S IH NG Z
REFINE(2)	R IH F AY N
REFINED(2)	R IH F AY N D
REFINING(2)	R IH F AY N IH NG
REFLECT(2)	R IH F L EH K T
REFLECTED(2)	R IH F L EH K T IH D
REFLECTING(2)	R IH F L EH K T IH NG
REFLECTION(2)	R IH F L EH K SH AH N
REFLECTS(2)	R IH F L EH K S
REFORM(2)	R IH F AO R M
REFORMS(2)	R IH F AO R M Z
REFRIGERATOR(2)	R IH F R IH JH ER EY T ER
REFUELING(2)	R IY F Y UW L IH NG
REFUND(2)	R IY F AH N D
REFUNDS(2)	R IY F AH N D Z
REFUSAL(2)	R IH F Y UW Z AH L
REFUSE(2)	R EH F Y UW Z
REFUSE(3)	R IH F Y UW Z
REFUSED(2)	R IH F Y UW Z D
REFUSES(2)	R IH F Y UW Z IH Z
REFUSING(2)	R IH F Y UW Z IH NG
REGARD(2)	R IH G AA R D
REGARDED(2)	R IH G AA R D IH D
REGARDING(2)	R IH G AA R D IH NG
REGIME(2)	R EY ZH IY M
REGIMES(2)	R EY ZH IY M Z
REGISTERING(2)	R EH JH IH S T R IH NG
REGISTERS(2)	R EH JH IH S T ER Z
REGRESS(2)	R IH G R EH S
REGRET(2)	R IH G R EH T
REGULAR(2)	R EY G Y AH L ER
REGULATED(2)	R EH G Y AH L EY T IH D
REHABILITATE(2)	R IY AH B IH L AH T EY T
REHABILITATED(2)	R IY AH B IH L AH T EY T IH D
REHABILITATING(2)	R IY AH B IH L AH T EY T IH NG
REHABILITATION(2)	R IY AH B IH L AH T EY SH AH N
REHABILITATIONS(2)	R IY AH B IH L AH T EY SH AH N Z
REHABILITATIVE(2)	R IY AH B IH L AH T EY T IH V
REHABILITY(2)	R IY AH B IH L AH T IY
REHBEIN(2)	R EH B IY N
REHEARSAL(2)	R IY HH ER S AH L
REHKOPF(2)	R EH K AO F
REICHHOLD'S(2)	R AY K OW L D Z
REICHHOLD(2)	R AY K OW L D
REICHLING(2)	R AY K L IH NG
REINVESTMENT(2)	R IY IH N V EH S M AH N T
REINVESTS(2)	R IY IH N V EH S S
REINVESTS(3)	R IY IH N V EH S
REITZFELD(2)	R AY T S F EH L D
REJECT(2)	R IY JH EH K T
REJECTED(2)	R IY JH EH K T AH D
REJECTED(3)	R IY JH EH K T IH D
REJECTING(2)	R IY JH EH K T IH NG
REJECTION(2)	R IY JH EH K SH AH N
REJECTIONIST(2)	R IY JH EH K SH AH N IH S T
REJECTIONISTS(2)	R IY JH EH K SH AH N IH S T S
REJECTIONS(2)	R IY JH EH K SH AH N Z
REJECTS(2)	R IY JH EH K T S
REJECTS(3)	R IH JH EH K S
REJECTS(4)	R IY JH EH K S
REJOINDER(2)	R IY JH OY N D ER
REKENTHALER(2)	R EH K AH N TH AA L ER
RELAPSES(2)	R IH L AE P S IH Z
RELATE(2)	R IY L EY T
RELATED(2)	R IY L EY T AH D
RELATED(3)	R IY L EY T IH D
RELATES(2)	R IY L EY T S
RELATING(2)	R IY L EY T IH NG
RELAX(2)	R IY L AE K S
RELAXED(2)	R IY L AE K S T
RELAXING(2)	R IY L AE K S IH NG
RELENTED(2)	R IY L EH N T IH D
RELENTED(3)	R AH L EH N AH D
RELENTED(4)	R IY L EH N AH D
RELIABLE(2)	R IY L AY AH B AH L
RELIABLY(2)	R IY L AY AH B L IY
RELIANCE'S(2)	R IY L AY AH N S IH Z
RELIANCE(2)	R IY L AY AH N S
RELIANT(2)	R IY L AY AH N T
RELIED(2)	R IY L AY D
RELIEF(2)	R IY L IY F
RELIES(2)	R IY L AY Z
RELIEVE(2)	R IY L IY V
RELIEVED(2)	R IY L IY V D
RELIEVING(2)	R IY L IY V IH NG
RELIGION(2)	R IY L IH JH AH N
RELIGIOUS(2)	R IY L IH JH AH S
RELINQUISH(2)	R IY L IH NG K W IH SH
RELINQUISHED(2)	R IY L IH NG K W IH SH T
RELISHES(2)	R EH L IH SH IH Z
RELUCTANCE(2)	R IY L AH K T AH N S
RELUCTANT(2)	R IY L AH K T AH N T
RELY(2)	R IY L AY
REMAIN(2)	R IY M EY N
REMAINDER(2)	R IY M EY N D ER
REMAINED(2)	R IY M EY N D
REMAINING(2)	R IY M EY N IH NG
REMAINS(2)	R IY M EY N Z
REMANUFACTURE(2)	R IY M AE N Y AH F AE K CH ER
REMANUFACTURED(2)	R IY M AE N Y AH F AE K CH ER D
REMARK(2)	R IY M AA R K
REMARKABLE(2)	R IY M AA R K AH B AH L
REMARKABLY(2)	R IY M AA R K AH B L IY
REMARKED(2)	R IY M AA R K T
REMARKS(2)	R IY M AA R K S
REMEDIATE(2)	R IY M IY D IY EY T
REMEMBER(2)	R IY M EH M B ER
REMEMBERED(2)	R IY M EH M B ER D
REMEMBERING(2)	R IY M EH M B ER IH NG
REMEMBERING(3)	R IH M EH M B R IH NG
REMEMBERING(4)	R IY M EH M B R IH NG
REMEMBERS(2)	R IY M EH M B ER Z
REMINDED(2)	R IY M AY N D IH D
REMITTANCE(2)	R AH M IH T AH N S
REMITTANCES(2)	R AH M IH T AH N S IH Z
REMLINGER(2)	R EH M L IH NG ER
REMODELING(2)	R IH M AA D L IH NG
REMOTE(2)	R IY M OW T
RENAULT'S(2)	R AH N OW Z
RENAULT(2)	R IH N AO L T
RENEWED(2)	R IY N UW D
RENSCHLER(2)	R EH N SH L ER
RENTED(2)	R EH N T IH D
REP(2)	R EH P R IY Z EH T AH T IH V
REPAIRED(2)	R IY P EH R D
REPAIRING(2)	R IY P EH R IH NG
REPAIRMAN(2)	R IY P EH R M AE N
REPAIRS(2)	R IY P EH R Z
REPEAL(2)	R IY P IY L
REPEALED(2)	R IY P IY L D
REPEAT(2)	R IY P IY T
REPEATED(2)	R IY P IY T AH D
REPEATED(3)	R IY P IY T IH D
REPEATING(2)	R IY P IY T IH NG
REPEATS(2)	R IY P IY T S
REPELLED(2)	R IH P EH L D
REPERCUSSION(2)	R IY P R AH K AH SH AH N
REPERCUSSIONS(2)	R IY P R AH K AH SH AH N Z
REPLACE(2)	ER P L EY S
REPLANTED(2)	R IY P L AE N IH D
REPLIED(2)	R IY P L AY D
REPLIES(2)	R IY P L AY Z
REPLY(2)	R IY P L AY
REPLYING(2)	R IY P L AY IH NG
REPORT'S(2)	R IH P AO R T S
REPORT(2)	R IH P AO R T
REPORTED(2)	R IH P AO R T AH D
REPORTEDLY(2)	R IY P AO R T AH D L IY
REPORTING(2)	R IH P AO R T IH NG
REPORTS'(2)	R IY P AO R T S
REPORTS(2)	R IY P AO R T S
REPRESENT(2)	R EH P R IH Z EH N T
REPRESENTATIVE'S(2)	R EH P R IH Z EH N AH T IH V Z
REPRESENTATIVE(2)	R EH P R IH Z EH N T AH T IH V
REPRESENTATIVE(3)	R EH P R AH Z EH N AH T IH V
REPRESENTATIVE(4)	R EH P R IH Z EH N AH T IH V
REPRESENTATIVES'(2)	R EH P R AH S EH N AH T IH V Z
REPRESENTATIVES(2)	R EH P R IH Z EH N T AH T IH V Z
REPRESENTATIVES(3)	R EH P R AH Z EH N AH T IH V Z
REPRESENTATIVES(4)	R EH P R IH Z EH N AH T IH V Z
REPRESENTED(2)	R EH P R IH Z EH N T IH D
REPRESENTED(3)	R EH P R AH Z EH N AH D
REPRESENTED(4)	R EH P R IH Z EH N IH D
REPRESENTING(2)	R EH P R IH Z EH N IH NG
REPRESENTS(2)	R EH P R IH Z EH N T S
REPRISALS(2)	R IY P R AY Z AH L Z
REPRISE(2)	R IH P R IY Z
REPUBLIC(2)	R IY P AH B L IH K
REPUBLICAN(2)	R IY P AH B L AH K AH N
REPUBLICAN(3)	R IY P AH B L IH K AH N
REPUBLICANS'(2)	R IY P AH B L IH K AH N Z
REPUBLICANS(2)	R IY P AH B L AH K AH N Z
REPUBLICANS(3)	R IY P AH B L IH K AH N Z
REPUGNANT(2)	R IY P AH G N AH N T
REPUTED(2)	R IY P Y UW T AH D
REPUTED(3)	R IY P Y UW T IH D
REQUEST(2)	R IY K W EH S T
REQUESTED(2)	R IY K W EH S T AH D
REQUESTED(3)	R IY K W EH S T IH D
REQUESTING(2)	R IY K W EH S T IH NG
REQUESTS(2)	R IY K W EH S T S
REQUESTS(3)	R IH K W EH S
REQUESTS(4)	R IY K W EH S
REQUIRE(2)	R IY K W AY R
REQUIRE(3)	R IH K W AY ER
REQUIRED(2)	R IY K W AY R D
REQUIRES(2)	R IY K W AY R Z
REQUIRING(2)	R IY K W AY R IH NG
REROUTE(2)	R IY R AW T
REROUTED(2)	R IY R AW T IH D
REROUTING(2)	R IY R AW T IH NG
RESCIND(2)	R IY S IH N D
RESCINDED(2)	R IY S IH N D AH D
RESCINDED(3)	R IY S IH N D IH D
RESCINDS(2)	R IY S IH N D Z
RESEMBLANCE(2)	R IY Z EH M B L AH N S
RESEMBLE(2)	R IY Z EH M B AH L
RESEMBLED(2)	R IY Z EH M B AH L D
RESEMBLES(2)	R IY Z EH M B AH L Z
RESEMBLING(2)	R IY Z EH M B AH L IH NG
RESEMBLING(3)	R IY Z EH M B L IH NG
RESENT(2)	R IY Z EH N T
RESENTED(2)	R IY Z EH N AH D
RESENTING(2)	R IY Z EH N T IH NG
RESENTING(3)	R IH Z EH N IH NG
RESENTING(4)	R IY Z EH N IH NG
RESENTMENT(2)	R IH Z EH N M AH N T
RESENTMENTS(2)	R IH Z EH N M AH N T S
RESERVE'S(2)	R IY Z ER V Z
RESERVE(2)	R IY Z ER V
RESERVED(2)	R IY Z ER V D
RESERVES(2)	R IY Z ER V Z
RESERVING(2)	R IY Z ER V IH NG
RESERVOIR(2)	R EH Z ER V W AA R
RESHUFFLING(2)	R IY SH AH F L IH NG
RESIDE(2)	R IY Z AY D
RESIDES(2)	R IY Z AY D Z
RESIDING(2)	R IY Z AY D IH NG
RESIGN(2)	R IY Z AY N
RESIGN(3)	R IY S AY N
RESIGNATION(2)	R EH Z IH G N EY SH AH N
RESIGNED(2)	R IY Z AY N D
RESIGNED(3)	R IY S AY N D
RESIGNING(2)	R IY Z AY N IH NG
RESIGNING(3)	R IY S AY N IH NG
RESIGNS(2)	R IY Z AY N Z
RESIGNS(3)	R IY S AY N Z
RESILIENCE(2)	R IH Z IH L Y AH N S
RESIN(2)	R EH Z IH N
RESINS(2)	R EH Z IH N Z
RESIST(2)	R IY Z IH S T
RESISTANCE(2)	R IY Z IH S T AH N S
RESISTANT(2)	R IY Z IH S T AH N T
RESISTED(2)	R IY Z IH S T AH D
RESISTED(3)	R IY Z IH S T IH D
RESISTING(2)	R IY Z IH S T IH NG
RESISTS(2)	R IY Z IH S T S
RESISTS(3)	R IH Z IH S
RESISTS(4)	R IY Z IH S
RESO'S(2)	R IY Z OW Z
RESO'S(3)	R IH S OW Z
RESO'S(4)	R IH Z OW Z
RESO(2)	R IY Z OW
RESO(3)	R IH S OW
RESO(4)	R IY S OW
RESOLUTELY(2)	R EH Z AH L UW T L IY
RESORT(2)	R IY Z AO R T
RESORT(3)	R IY S AO R T
RESORTED(2)	R IY Z AO R T IH D
RESORTED(3)	R IY S AO R T IH D
RESORTING(2)	R IY Z AO R T IH NG
RESORTING(3)	R IY S AO R T IH NG
RESORTS(2)	R IY Z AO R T S
RESORTS(3)	R IY S AO R T S
RESOUND(2)	R IY Z AW N D
RESPECT(2)	R IY S P EH K T
RESPECTABLE(2)	R IY S P EH K T AH B AH L
RESPECTED(2)	R IY S P EH K T AH D
RESPECTED(3)	R IY S P EH K T IH D
RESPECTIVE(2)	R IY S P EH K T IH V
RESPECTS(2)	R IY S P EH K T S
RESPECTS(3)	R AH S P EH K S
RESPECTS(4)	R IY S P EH K S
RESPOND(2)	R IY S P AA N D
RESPONDED(2)	R IY S P AA N D AH D
RESPONDED(3)	R IY S P AA N D IH D
RESPONDING(2)	R IY S P AA N D IH NG
RESPONDS(2)	R IY S P AA N D Z
RESPONSE(2)	R IY S P AA N S
RESPONSES(2)	R IY S P AA N S AH Z
RESPONSES(3)	R IY S P AA N S IH Z
RESTAURANT'S(2)	R EH S T R AA N T S
RESTAURANT(2)	R EH S T R AA N T
RESTAURANTS'(2)	R EH S T R AA N T S
RESTAURANTS(2)	R EH S T R AA N T S
RESTAURATEUR(2)	R EH S T R AH T ER
RESTAURATEURS(2)	R EH S T R AH T ER Z
RESTED(2)	R EH S T IH D
RESTRAINT(2)	R IY S T R EY N T
RESTRAINTS(2)	R IY S T R EY N T S
RESTRICTED(2)	R IY S T R IH K T IH D
RESULT(2)	R IY Z AH L T
RESULTED(2)	R IY Z AH L T AH D
RESULTED(3)	R IY Z AH L T IH D
RESULTING(2)	R IY Z AH L T IH NG
RESULTS(2)	R IY Z AH L T S
RESUME(2)	R IY Z UW M
RESUME(3)	R EH Z AH M EY
RESUMED(2)	R IY Z UW M D
RESUMES(2)	R IY Z UW M Z
RESUMES(3)	R EH Z AH M EY Z
RESUMING(2)	R IY Z UW M IH NG
RESUMPTION(2)	R IY Z AH M P SH AH N
RESUMPTION(3)	R IH Z AH M SH AH N
RESUMPTION(4)	R IY Z AH M SH AH N
RESURGENCY(2)	R IY S ER JH AH N S IY
RESURGENT(2)	R IY S ER JH AH N T
RESUSCITATE(2)	R IY S AH S IH T EY T
RETAIN(2)	R IY T EY N
RETAINED(2)	R IY T EY N D
RETAINER(2)	R IY T EY N ER
RETAINING(2)	R IY T EY N IH NG
RETAINS(2)	R IY T EY N Z
RETALIATE(2)	R IY T AE L IY EY T
RETALIATED(2)	R IY T AE L IY EY T IH D
RETARD(2)	R IY T AA R D
RETARDED(2)	R IY T AA R D AH D
RETARDED(3)	R IY T AA R D IH D
RETARDING(2)	R IY T AA R D IH NG
RETARDS(2)	R IY T AA R D Z
RETIRE(2)	R IY T AY R
RETIRE(3)	R IY T AY ER
RETIRED(2)	R IY T AY ER D
RETIRED(3)	R IY T AY R D
RETIREMENT'S(2)	R IY T AY R M AH N T S
RETIREMENT(2)	R IH T AY ER M AH N T
RETIREMENTS(2)	R IY T AY R M AH N T S
RETIRES(2)	R IY T AY ER Z
RETIRES(3)	R IY T AY R Z
RETIRING(2)	R IY T AY ER IH NG
RETIRING(3)	R IY T AY R IH NG
RETORTS(2)	R IY T AO R T S
RETREATED(2)	R IY T R IY T IH D
RETRIEVAL(2)	R IY T R IY V AH L
RETRIEVE(2)	R IY T R IY V
RETRIEVES(2)	R IY T R IY V Z
RETTINGER(2)	R EH T IH NG ER
RETURN(2)	R IY T ER N
RETURNED(2)	R IY T ER N D
RETURNING(2)	R IY T ER N IH NG
RETURNS'(2)	R IY T ER N Z
RETURNS(2)	R IY T ER N Z
REUSE(2)	R IY Y UW Z
REUTERS'S(2)	R OY T ER Z
REVEAL(2)	R IY V IY L
REVEALED(2)	R IY V IY L D
REVEALING(2)	R IY V IY L IH NG
REVEALS(2)	R IY V IY L Z
REVENUE(2)	R EH V AH N Y UW
REVENUER(2)	R EH V AH N Y UW ER
REVENUERS(2)	R EH V AH N Y UW ER Z
REVENUES(2)	R EH V AH N Y UW Z
REVERBERATE(2)	R IH V ER B ER EY T
REVERBERATED(2)	R IY V ER B ER EY T AH D
REVERBERATED(3)	R IY V ER B ER EY T IH D
REVERBERATING(2)	R IY V ER B ER EY T IH NG
REVEREND(2)	R EH V R AH N D
REVERENTIAL(2)	R EH V ER EH N SH AH L
REVERSAL(2)	R IY V ER S AH L
REVERSALS(2)	R IY V ER S AH L Z
REVERSE(2)	R IY V ER S
REVERSED(2)	R IY V ER S T
REVERSES(2)	R IY V ER S AH Z
REVERSES(3)	R IY V ER S IH Z
REVERSIBLE(2)	R IY V ER S AH B AH L
REVERSING(2)	R IY V ER S IH NG
REVERT(2)	R IY V ER T
REVERTED(2)	R IY V ER T IH D
REVIEWS(2)	R AH V Y UW Z
REVISE(2)	R IY V AY Z
REVISED(2)	R IY V AY Z D
REVISES(2)	R IY V AY Z IH Z
REVISING(2)	R IY V AY Z IH NG
REVIVAL(2)	R IY V AY V AH L
REVIVE(2)	R IY V AY V
REVIVED(2)	R IY V AY V D
REVIVING(2)	R IY V AY V IH NG
REVOKE(2)	R IY V OW K
REVOKED(2)	R IY V OW K T
REVOKING(2)	R IY V OW K IH NG
REVOLT(2)	R IY V OW L T
REVOLTED(2)	R IY V OW L T AH D
REVOLTED(3)	R IY V OW L T IH D
REVULSION(2)	R IY V AH L SH AH N
REWARD(2)	R IY W AO R D
REWARDED(2)	R IY W AO R D AH D
REWARDED(3)	R IY W AO R D IH D
REWARDING(2)	R IY W AO R D IH NG
REWARDS(2)	R IY W AO R D Z
REYKJAVIK(2)	R EY K AH V IH K
RHINOPLASTY(2)	R IH N OW P L AE S T IY
RICHES(2)	R IH CH IH Z
RICHLAND(2)	R IH CH L AE N
RICKLES'(2)	R IH K AH L Z IH Z
RIDGES(2)	R IH JH IH Z
RIEDLINGER(2)	R IY D L IH NG ER
RIESH(2)	R IY SH
RIGID(2)	R IH JH IH D
RIGLER(2)	R IH G L ER
RIGUEUR(2)	R IH G ER
RIKELD(2)	R IH K EH L D
RIMPOCHET(2)	R IH M P OW CH AH T
RIMPOCHETS(2)	R IH M P OW CH IH T S
RINGLER(2)	R IH NG G L ER
RIPENING(2)	R AY P N IH NG
RIPPLING(2)	R IH P L IH NG
RIPPLINGER(2)	R IH P L IH NG ER
RISENHOOVER(2)	R AY Z IH N HH UW V ER
RISES(2)	R AY Z IH Z
RITENOUR'S(2)	R AY T AH N AW R Z
RITENOUR(2)	R AY T AH N AW R
RITUALISTICALLY(2)	R IH CH UW AH L IH S T IH K L IY
RITZENTHALER(2)	R IH T S IH N TH AA L ER
RIUNITE(2)	R IY UW N AY T IY
RIVALING(2)	R AY V L IH NG
RIYAD(2)	R IY AE D
RIYADH(2)	R IY AA D
ROASTED(2)	R OW S T IH D
ROBERTO(2)	R OW B EH R T OW
ROBIN'S(2)	R AA B IH N Z
ROBIN(2)	R AA B IH N
ROBITUSSIN(2)	R OW B AH T AH S IH N
ROBLING(2)	R OW B L IH NG
ROBOT'S(2)	R OW B AH T S
ROBOT(2)	R OW B AH T
ROBOTS(2)	R OW B AH T S
ROCARD(2)	R OW K AA R D
ROCARD(3)	R OW SH AA R D
ROCARD(4)	R AH K AA R D
ROCHE(2)	R OW SH
ROCHEFORT(2)	R AA SH F ER T
ROCHEFORT(3)	R AA K F ER T
ROCHELLE'S(2)	R AH SH EH L Z
ROCHELLE(2)	R AH SH EH L
ROCHER(2)	R OW SH ER
RODIN(2)	R OW D AE N
ROESLER(2)	R OW S L ER
ROESSLER(2)	R OW S L ER
ROETHLER(2)	R OW TH L ER
ROHATYN'S(2)	R OW HH AE T AH N Z
ROHATYN(2)	R OW HH AE T AH N
ROHDE(2)	R OW D AH
ROLLIE(2)	R AO L IY
ROMANOV(2)	R OW M AH N AO F
ROMANTICALLY(2)	R OW M AE N T IH K L IY
ROMANY(2)	R OW M AH N IY
ROMINE(2)	R AA M IH N
ROMINES(2)	R AH M IY N IY Z
ROOF(2)	R UH F
ROOSEVELT'S(2)	R UW Z AH V EH L T S
ROOSEVELT(2)	R UW Z AH V EH L T
ROOSEVELTS(2)	R UW Z AH V EH L T S
ROOTED(2)	R UW T IH D
RORSCHACH(2)	R AO R SH AA CH
ROSALEE(2)	R OW Z AH L IY
ROSENSTEIN(2)	R OW Z AH N S T IY N
ROSS(2)	R AO S
ROSSLER(2)	R AA S L ER
ROSTROPOVICH(2)	R AH S T R AA P AH V IH CH
ROTHKOPF(2)	R AO TH K AO F
ROTHSTEIN(2)	R AO TH S T IY N
ROTOTILL(2)	R OW T OW T IH L
ROTOTILLED(2)	R OW T OW T IH L D
ROTOTILLER(2)	R OW T OW T IH L ER
ROTOTILLES(2)	R OW T OW T IH L Z
ROTOTILLING(2)	R OW T OW T IH L IH NG
ROUNDED(2)	R AW N D IH D
ROUNDS(2)	R AW N Z
ROUSE(2)	R AW Z
ROUTE(2)	R AW T
ROUTED(2)	R AW T IH D
ROUTER(2)	R AW T ER
ROUTERS(2)	R AW T ER Z
ROUTES(2)	R AW T S
ROUTES(3)	R UH T S
ROUTING(2)	R UW T IH NG
ROXANNE(2)	R AA K S AE N
RU(2)	AA R Y UW
RUBENSTEIN(2)	R UW B AH N S T IY N
RUBINSTEIN(2)	R UW B IH N S T AY N
RUDENSTEIN(2)	R UW D IH N S T AY N
RUDICH(2)	R UW D IH K
RUDOLF(2)	R UW D AA F
RUDOLPH(2)	R UW D AO F
RUFFLING(2)	R AH F L IH NG
RUIN(2)	R UW IH N
RUINED(2)	R UW IH N D
RUINS(2)	R UW IH N Z
RUMANIAN(2)	R UW M EY N Y AH N
RUMBLING'S(2)	R AH M B L IH NG Z
RUMBLING(2)	R AH M B L IH NG
RUMBLINGS(2)	R AH M B L IH NG Z
RUNAROUND(2)	R AH N AH R AW N
RUSHES(2)	R AH SH IH Z
RUSSIFICATION(2)	R UW S AH F AH K EY SH AH N
RUSSOLILLO(2)	R UW S OW L IY OW
RUSTED(2)	R AH S T IH D
RUSTLERS(2)	R AH S L ER Z
RUTSTEIN(2)	R AH T S T IY N
RWANDA'S(2)	R UW AA N D AH Z
RWANDA(2)	R UW AA N D AH
RWANDAN'S(2)	R UW AA N D AH N Z
RWANDAN(2)	R UW AA N D AH N
RWANDANS(2)	R UW AA N D AH N Z
RWANDESE(2)	R UW AA D IY Z
RYBACKI(2)	R IH B AA K IY
RYCHLIK(2)	R IH K L IH K
RYKIEL(2)	R IH K Y EH L
SAARINEN(2)	S AH R IY N AH N
SABIR(2)	S AH B IH R
SABOTEURS(2)	S AE B IH T AO R Z
SACHER(2)	S AA SH ER
SACHS(2)	S AA K S
SACRED(2)	S EY K R IH D
SADAT'S(2)	S AH D AE T S
SADAT(2)	S AH D AE T
SADDAM'S(2)	S AH D AA M Z
SADDAM(2)	S AH D AA M
SADDENING(2)	S AE D N IH NG
SADDLER(2)	S AE D L ER
SADDLING(2)	S AE D L IH NG
SAFFERSTEIN(2)	S AE F ER S T AY N
SAI(2)	EH S EY AY
SAIF(2)	S AY F
SALIENT(2)	S EY L Y AH N T
SALIM(2)	S AA L IY M
SALINAS'(2)	S AH L IY N AH Z
SALINAS(2)	S AH L IY N AH Z
SALINGER'S(2)	S AE L IH N JH ER Z
